iter	Passed	Remaining
0	147	147542
1	148	74095
2	149	49581
3	149	37298
4	150	29948
5	151	25041
6	152	21588
7	152	18950
8	153	16906
9	154	15299
10	155	13954
11	155	12825
12	156	11880
13	157	11070
14	158	10377
15	158	9756
16	159	9205
17	159	8714
18	160	8276
19	160	7881
20	161	7525
21	162	7202
22	162	6909
23	163	6647
24	164	6396
25	164	6164
26	165	5949
27	166	5766
28	166	5585
29	167	5413
30	168	5251
31	169	5113
32	169	4981
33	170	4846
34	171	4719
35	172	4608
36	172	4496
37	173	4388
38	173	4285
39	174	4199
40	175	4115
41	176	4027
42	177	3948
43	178	3874
44	179	3798
45	179	3730
46	181	3670
47	182	3612
48	182	3548
49	183	3485
50	184	3430
51	185	3378
52	186	3324
53	187	3276
54	188	3230
55	188	3179
56	189	3130
57	189	3084
58	190	3039
59	191	3000
60	192	2956
61	192	2914
62	193	2880
63	194	2842
64	194	2804
65	195	2766
66	196	2731
67	196	2699
68	197	2666
69	198	2634
70	199	2608
71	199	2577
72	200	2547
73	201	2518
74	201	2489
75	202	2462
76	203	2437
77	203	2410
78	204	2384
79	205	2359
80	205	2335
81	206	2312
82	206	2285
83	207	2262
84	208	2240
85	208	2218
86	209	2196
87	209	2175
88	210	2154
89	211	2134
90	211	2115
91	212	2095
92	212	2076
93	213	2057
94	214	2039
95	214	2021
96	215	2003
97	215	1986
98	216	1970
99	217	1955
100	217	1940
101	218	1926
102	219	1911
103	220	1896
104	220	1881
105	221	1866
106	222	1853
107	222	1840
108	223	1826
109	224	1813
110	226	1811
111	226	1799
112	227	1787
113	228	1777
114	229	1767
115	230	1759
116	232	1751
117	232	1739
118	233	1727
119	233	1715
120	234	1704
121	235	1692
122	236	1689
123	238	1682
124	238	1671
125	239	1660
126	239	1649
127	240	1638
128	241	1627
129	241	1617
130	242	1608
131	243	1598
132	243	1590
133	244	1581
134	245	1572
135	246	1563
136	246	1553
137	247	1544
138	247	1534
139	248	1526
140	249	1518
141	249	1508
142	250	1500
143	251	1492
144	251	1485
145	252	1477
146	253	1469
147	253	1460
148	254	1453
149	255	1445
150	255	1437
151	256	1430
152	257	1423
153	257	1416
154	258	1409
155	259	1402
156	259	1394
157	260	1387
158	260	1380
159	261	1373
160	262	1366
161	262	1359
162	263	1355
163	265	1351
164	266	1347
165	267	1345
166	268	1340
167	269	1333
168	269	1327
169	270	1321
170	271	1316
171	272	1311
172	273	1305
173	273	1299
174	274	1294
175	275	1288
176	275	1282
177	276	1278
178	277	1273
179	278	1268
180	279	1264
181	280	1258
182	280	1253
183	281	1248
184	282	1242
185	282	1237
186	283	1231
187	284	1226
188	284	1222
189	285	1217
190	286	1213
191	287	1209
192	288	1204
193	288	1200
194	289	1195
195	290	1191
196	291	1186
197	291	1182
198	292	1177
199	293	1173
200	294	1169
201	295	1165
202	295	1161
203	296	1156
204	297	1152
205	297	1147
206	298	1144
207	299	1139
208	300	1135
209	300	1130
210	301	1126
211	301	1121
212	302	1117
213	303	1113
214	304	1110
215	305	1107
216	306	1104
217	306	1100
218	307	1096
219	308	1092
220	308	1088
221	309	1084
222	310	1081
223	311	1078
224	312	1075
225	312	1071
226	313	1067
227	314	1063
228	314	1059
229	315	1056
230	316	1052
231	317	1049
232	318	1048
233	319	1045
234	320	1042
235	320	1038
236	321	1034
237	321	1030
238	322	1026
239	323	1023
240	324	1022
241	325	1019
242	326	1016
243	326	1013
244	327	1009
245	328	1005
246	328	1002
247	329	999
248	330	995
249	330	992
250	331	990
251	332	988
252	333	985
253	334	982
254	334	978
255	335	976
256	336	973
257	337	970
258	337	966
259	338	963
260	339	960
261	339	957
262	340	954
263	341	952
264	342	950
265	343	947
266	344	944
267	344	941
268	345	938
269	345	935
270	346	932
271	347	929
272	348	927
273	349	924
274	349	922
275	350	919
276	351	916
277	351	913
278	352	910
279	353	908
280	354	906
281	355	905
282	356	904
283	357	901
284	358	899
285	359	896
286	359	893
287	360	891
288	361	889
289	376	920
290	376	918
291	377	915
292	378	912
293	378	909
294	379	906
295	380	904
296	380	901
297	381	899
298	382	896
299	383	893
300	383	890
301	384	888
302	384	885
303	385	882
304	386	879
305	386	877
306	387	874
307	387	871
308	388	868
309	389	866
310	389	863
311	390	860
312	390	858
313	391	855
314	392	853
315	393	850
316	393	848
317	394	845
318	394	842
319	395	840
320	395	837
321	396	834
322	397	832
323	397	829
324	398	827
325	399	825
326	399	822
327	400	819
328	400	817
329	401	814
330	401	812
331	402	809
332	403	807
333	403	804
334	404	802
335	404	800
336	405	797
337	405	795
338	406	792
339	407	790
340	407	787
